name,city,zip,last_donate,lat,lon,new_city
Lillian John,Oxford MS,38655-5969,1/29/2013,34.1755002,-89.64914876,Oxford
Vivian Carson,Oxford MS,38655,12/16/2013,34.18066071,-89.28207195,Oxford
Lydia Noah,Clarksdale MS,38614-9390,11/11/2014,34.18213026,-90.56790733,Clarksdale
Valentina Sofia,Oxford MS,38655,9/29/2014,34.1880895,-89.35203159,Oxford
Emilia Hailey,Oxford MS,38655-3854,11/20/2017,34.18819339,-89.27716126,Oxford
John Dominic,Lyon MS,38645-0724,1/17/2014,34.18828985,-90.41881189,Lyon
Elias Roman,Oxford MS,38655,1/22/2018,34.19578211,-89.47660364,Oxford
Mila Matthew,Oxford MS,38655,12/1/2015,34.20005623,-89.2596691,Oxford
Jacob Oliver,De Witt AR,72042-3607,1/14/2013,34.20181074,-91.2923889,De Witt
Hunter Amelia,Oxford MS,38655-4920,2/9/2013,34.20264919,-89.4050288,Oxford
Christian Jackson,Stuttgart AR,72160-6519,2/6/2014,34.20456095,-91.43320778,Stuttgart
Eleanor Paisley,Oxford MS,38655-5448,1/6/2016,34.21060426,-89.46041643,Oxford
Madeline Carson,Clarksdale MS,38614-6215,10/31/2014,34.21360746,-90.51957506,Clarksdale
Mia Brielle,Tupelo MS,38804,12/28/2014,34.21723722,-88.68961089,Tupelo
Miles Ariana,Pine Bluff AR,71601-4937,2/5/2015,34.21749102,-92.02536869,Pine Bluff
Landon Eli,Oxford MS,38655-3609,2/4/2014,34.23260766,-89.27226532,Oxford
Stella Eva,Oxford MS,38655-9695,12/24/2012,34.25480256,-89.47543333,Oxford
Hudson Gianna,Oxford MS,38655-9462,12/1/2016,34.25864167,-89.70141242,Oxford
Carson Alexander,Clarksdale MS,38614,10/18/2018,34.2605016,-90.82212633,Clarksdale
Elizabeth Luna,Oxford MS,38655-8244,11/28/2017,34.26459715,-89.33100026,Oxford
Julian Ariana,Clarksdale MS,38614-4220,3/26/2014,34.28139193,-90.63723042,Clarksdale
Greyson Brayden,Tupelo MS,38804-1032,9/29/2014,34.28905548,-88.79509317,Tupelo
Madison Valentina,Oxford MS,38655,1/5/2015,34.2961199,-89.55722925,Oxford
Jeremiah Cameron,Oxford MS,38655,4/11/2013,34.29642006,-89.36235567,Oxford
Ella Allison,Lyon MS,38645,2/12/2015,34.2993436,-90.45813661,Lyon
Axel Grace,Oxford MS,38655-8472,2/13/2015,34.31479677,-89.59717039,Oxford
Jacob Mia,Oxford MS,38655,1/21/2014,34.33067432,-89.36823394,Oxford
Everett Gianna,Marks MS,38646-2201,3/26/2014,34.33169364,-90.24493069,Marks
Thomas Hunter,Marks MS,38646,12/12/2017,34.34968874,-90.20166313,Marks
John Maya,Oxford MS,38655,12/19/2017,34.35961518,-89.31930435,Oxford
Josephine Isabella,Oxford MS,38655-5311,10/16/2018,34.3692639,-89.42528105,Oxford
Scarlett Lucy,Oxford MS,38655-1603,5/29/2013,34.37122558,-89.40720346,Oxford
Naomi Abigail,Oxford MS,38655,2/7/2014,34.38462499,-89.26138837,Oxford
Jonathan Josephine,Oxford MS,38655-6198,2/2/2013,34.39031388,-89.60177342,Oxford
Joseph Madeline,Oxford MS,38655-3920,9/27/2018,34.40535948,-89.32046381,Oxford
Michael Aaron,Oxford MS,38655-4637,1/24/2014,34.41312962,-89.43472636,Oxford
Caleb Benjamin,Dundee MS,38626,2/3/2014,34.41742795,-90.61628854,Dundee
Camila Elizabeth,Oxford MS,38655-4732,1/16/2015,34.4430888,-89.43051426,Oxford
Dylan David,Dundee MS,38626-8118,1/27/2018,34.45644319,-90.60135864,Dundee
Nora Harper,Oxford MS,38655,12/16/2013,34.47620037,-89.46771144,Oxford
Emilia Caroline,Dundee MS,38626-9620,9/29/2014,34.47804637,-90.29175776,Dundee
Ryan Noah,Abbeville MS,38601,3/3/2015,34.48067208,-89.45413847,Abbeville
Isabella Isaac,Oxford MS,38655-4720,6/16/2015,34.49130873,-89.37838114,Oxford
Samuel Kaylee,Oxford MS,38655,9/29/2014,34.49421049,-89.26532054,Oxford
Caroline Natalie,Oxford MS,38655-4394,1/12/2013,34.49552001,-89.48173945,Oxford
Aaliyah Roman,Dundee MS,38626-0128,9/28/2014,34.49793282,-90.32747416,Dundee
Avery Jaxon,Helena AR,72342-3315,2/5/2015,34.52476851,-90.64370182,Helena
Ava James,Hot Springs National Park AR,71901-5103,9/1/2017,34.54536878,-93.01510201,Hot Springs National Park
Gianna Quinn,Tunica MS,38676-7005,1/18/2018,34.57387803,-90.3363832,Tunica
Alexander Sophie,Carlisle AR,72024,10/20/2018,34.57879798,-91.65172753,Carlisle
Hailey Wyatt,Dundee MS,38626,9/29/2014,34.6004937,-90.39820031,Dundee
Olivia Nevaeh,Tunica MS,38676-9433,1/14/2014,34.6080416,-90.32571762,Tunica
Paisley Claire,Little Rock AR,72209-7271,1/17/2013,34.65634638,-92.43459495,Little Rock
Jose Daniel,Tunica MS,38676-9481,5/28/2017,34.65895598,-90.43093339,Tunica
Jack Riley,Little Rock AR,72210-5354,1/31/2013,34.67696895,-92.64549192,Little Rock
Kennedy Brielle,Benton AR,72019-9770,3/22/2018,34.69914454,-92.75944984,Benton
Landon Eleanor,Tunica MS,38676-9187,5/15/2018,34.7250864,-90.57231301,Tunica
Kinsley Arianna,Little Rock AR,72202,9/29/2014,34.72834517,-92.31401663,Little Rock
Jaxon Riley,Little Rock AR,72205,12/8/2017,34.7296952,-92.36726511,Little Rock
Naomi Roman,Little Rock AR,72205-2914,5/16/2018,34.73457105,-92.31412949,Little Rock
Allison Isla,Little Rock AR,72202,12/12/2013,34.73860369,-92.25913949,Little Rock
Alice Claire,Little Rock AR,72201,10/19/2018,34.74613753,-92.2923669,Little Rock
Eleanor Everett,Alexander AR,72002-8954,1/29/2013,34.75262096,-92.4964695,Alexander
Santiago Ezra,Little Rock AR,72201,1/29/2013,34.75641876,-92.26605239,Little Rock
Sophie Stella,Little Rock AR,72202-1949,2/13/2015,34.76509613,-92.33844489,Little Rock
Samantha Samuel,Little Rock AR,72212-3171,12/21/2016,34.76591489,-92.43356682,Little Rock
Eva Cooper,Maumelle AR,72113-6587,1/10/2015,34.80886351,-92.38557464,Maumelle
Lydia Evelyn,Little Rock AR,72223-9175,2/28/2013,34.81311441,-92.62108642,Little Rock
Violet Nora,North Little Rock AR,72116,12/16/2012,34.83232488,-92.21518873,North Little Rock
Josiah Levi,Little Rock Afb AR,72116,2/4/2014,34.83277536,-92.26681904,North Little Rock
Asher Levi,Sherwood AR,72120-9656,1/22/2013,34.87387645,-92.26121751,Sherwood
Layla Aaron,Sherwood ARKANSAS,72120,1/13/2017,34.87629941,-92.25467349,Sherwood
Aria Michael,Sherwood AR,72120-1822,5/31/2014,34.87655406,-92.19353429,Sherwood
Isabella Emilia,Olive Branch MS,38654-5114,2/13/2015,34.87733522,-89.73943124,Olive Branch
Evelyn Autumn,Cabot AR,72023-3843,8/15/2013,34.95672838,-91.99275166,Cabot
Ella Jordan,Horn Lake MS,38637-2434,12/30/2013,34.95880125,-90.01939282,Horn Lake
Joshua Christopher,Jacksonville AR,72076-8912,12/10/2013,34.97179432,-92.15486042,Jacksonville
Naomi Carter,Corinth MS,38834,10/19/2018,34.97351823,-88.42159272,Corinth
John Carter,Olive Branch MS,38654-6687,1/28/2013,34.99228866,-89.71265093,Olive Branch
Aurora Evan,Conway AR,72034,2/4/2018,35.01482147,-92.53330469,Conway
William Emma,Conway AR,72032-8899,10/20/2013,35.130763,-92.33309994,Conway
Aubrey Zoe,Marion AR,72364-8012,1/15/2018,35.2351344,-90.21625023,Marion
Addison Samantha,Marion AR,72364-8012,2/13/2015,35.23803099,-90.20517314,Marion
Adeline Nevaeh,Fort Smith AR,72903-1847,1/3/2013,35.36197251,-94.31199984,Fort Smith
Christian Elizabeth,Russellville AR,72802-1276,2/3/2014,35.39260361,-93.21225011,Russellville
Sebastian Amelia,Heber Springs AR,72543-1913,12/11/2013,35.39738638,-92.11413538,Heber Springs
Gabriella Ava,Osceola AR,72370-1720,10/19/2018,35.70567574,-90.11765389,Osceola
Easton Eli,Winslow AR,72959-3056,10/16/2018,35.76404718,-93.9655824,Winslow
Everly Sophie,Jonesboro AR,72404-7933,1/11/2013,35.81769646,-90.92816059,Jonesboro
Austin Mia,Batesville AR,72501-7435,12/21/2016,35.84431573,-91.63914782,Batesville
Grace William,Fayetteville AR,72703,10/19/2018,36.08369118,-94.01955178,Fayetteville
Owen Natalie,Fayetteville AR,72703-9006,1/29/2018,36.10889029,-94.00144262,Fayetteville
Ellie Samuel,Horseshoe Bend AR,72512-3448,1/15/2013,36.18344865,-91.77662574,Horseshoe Bend
Addison Genesis,Springdale AR,72764-2528,9/29/2014,36.20343715,-94.02940761,Springdale
Leah Andrew,Harrison AR,72601,4/11/2017,36.20666299,-93.1909962,Harrison
Eli Wyatt,Rogers AR,72756,9/29/2014,36.2786821,-94.03876885,Rogers
Adrian Leo,Harrison AR,72601,11/25/2017,36.28657907,-93.20600417,Harrison
Hannah Xavier,Bentonville AR,72712-9718,2/1/2013,36.29367156,-94.34724152,Bentonville
Olivia Julian,Rogers AR,72758-4064,3/3/2015,36.3225693,-94.03015843,Rogers
Hailey Jace,Bentonville AR,72712-8054,11/24/2014,36.33427699,-94.34804531,Bentonville
